,日期,最高气温,最低气温,天气,风向
144,2018-05-25,31,17,晴,2
145,2018-05-26,30,19,阴转小雨,3
146,2018-05-27,32,17,多云,2
147,2018-05-28,29,19,晴,3
148,2018-05-29,31,15,晴,3
149,2018-05-30,33,16,晴,2
150,2018-05-31,35,18,晴,1
151,2018-06-01,34,19,多云,2
152,2018-06-02,27,15,阴,3
153,2018-06-03,30,21,阴,2
154,2018-06-04,35,18,晴,3
155,2018-06-05,38,21,阴,3
156,2018-06-06,33,25,阴,2
157,2018-06-07,32,25,多云,2
158,2018-06-08,31,20,阴,2
159,2018-06-09,23,18,雨,2
160,2018-06-10,25,17,多云,2
161,2018-06-11,29,17,晴转小雨,2
162,2018-06-12,30,19,小雨,2
163,2018-06-13,27,18,阴,2
164,2018-06-14,32,19,多云,2
165,2018-06-15,30,19,多云,3
166,2018-06-16,29,20,阴,2
167,2018-06-17,28,21,多云,2
168,2018-06-18,31,22,雨,2
169,2018-06-19,28,22,多云,3
170,2018-06-20,36,20,多云,2
171,2018-06-21,35,21,阴,2
172,2018-06-22,30,23,阴,2
173,2018-06-23,36,22,晴,2
174,2018-06-24,34,25,多云,3
175,2018-06-25,30,25,雨,2
176,2018-06-26,32,25,晴,2
177,2018-06-27,36,25,晴,3
178,2018-06-28,36,25,晴,3
179,2018-06-29,35,24,雨,2
180,2018-06-30,35,25,多云,2
181,2018-07-01,32,23,晴,2
182,2018-07-02,31,23,雨,2
183,2018-07-03,32,23,阴,2
184,2018-07-04,35,24,多云,2
185,2018-07-05,34,25,中雨,2
186,2018-07-06,34,24,多云,2
187,2018-07-07,26,23,小雨到中雨,2
188,2018-07-08,30,23,雨,2
189,2018-07-09,28,23,小雨,2
190,2018-07-10,29,22,多云,2
191,2018-07-11,25,21,中雨到暴雨,2
192,2018-07-12,27,21,阴,1
193,2018-07-13,29,24,小雨到中雨,2
194,2018-07-14,32,24,多云,2
195,2018-07-15,34,25,多云,2
196,2018-07-16,29,24,雨,2
197,2018-07-17,27,24,雨,2
198,2018-07-18,30,24,多云,2
199,2018-07-19,30,24,大雨到暴风雨,2
200,2018-07-20,33,27,雨,3
201,2018-07-21,34,26,多云,3
202,2018-07-22,31,25,多云,2
203,2018-07-23,33,25,雨,2
204,2018-07-24,33,25,阴转小雨,1
205,2018-07-25,34,24,晴,2
206,2018-07-26,34,25,晴,2
207,2018-07-27,32,23,多云,2
208,2018-07-28,32,24,晴,2
209,2018-07-29,34,24,晴,2
210,2018-07-30,35,25,晴,2
211,2018-07-31,36,26,晴,2
212,2018-08-01,36,27,晴,2
213,2018-08-02,36,27,晴,2
214,2018-08-03,36,27,晴,2
215,2018-08-04,36,26,晴,2
216,2018-08-05,33,27,雨,3
217,2018-08-06,29,23,多云,2
218,2018-08-07,31,24,小雨到中雨,2
219,2018-08-08,28,24,小雨到暴雨,2
220,2018-08-09,33,24,多云,1
221,2018-08-10,34,24,多云,2
222,2018-08-11,30,25,雨,2
223,2018-08-12,29,26,小雨到暴风雨,3
224,2018-08-13,34,26,多云,2
225,2018-08-14,28,24,小雨,2
226,2018-08-15,32,24,晴,3
227,2018-08-16,32,23,多云,2
228,2018-08-17,31,22,晴,2
229,2018-08-18,27,22,小雨到中雨,2
230,2018-08-19,26,23,小雨转多云,2
231,2018-08-20,33,23,晴,2
232,2018-08-21,33,21,多云,3
233,2018-08-22,29,21,晴,2
234,2018-08-23,32,24,晴,3
235,2018-08-24,32,21,晴,2
236,2018-08-25,31,20,多云,2
237,2018-08-26,31,22,晴,2
238,2018-08-27,30,23,多云,2
239,2018-08-28,30,22,晴,2
240,2018-08-29,32,23,多云,2
241,2018-08-30,28,20,多云,2
242,2018-08-31,29,20,多云,2
243,2018-09-01,28,19,中雨,2
244,2018-09-02,27,21,多云,2
245,2018-09-03,32,20,晴,3
246,2018-09-04,30,20,晴,3
247,2018-09-05,31,18,晴,2
248,2018-09-06,27,20,晴,3
249,2018-09-07,27,18,晴,3
250,2018-09-08,27,16,晴,2
251,2018-09-09,28,15,晴,2
252,2018-09-10,28,16,多云,2
253,2018-09-11,26,18,多云,2
254,2018-09-12,29,19,多云,2
255,2018-09-13,29,18,多云,2
256,2018-09-14,28,20,多云,2
257,2018-09-15,26,20,多云,3
258,2018-09-16,25,16,晴,2
259,2018-09-17,27,14,多云,2
260,2018-09-18,25,16,多云,2
261,2018-09-19,25,17,多云,1
262,2018-09-20,27,15,晴,2
263,2018-09-21,25,15,晴,3
264,2018-09-22,24,14,晴,3
265,2018-09-23,24,13,晴,3
266,2018-09-24,23,12,晴,2
267,2018-09-25,24,11,晴,2
268,2018-09-26,24,12,晴,2
269,2018-09-27,22,14,多云,2
270,2018-09-28,24,13,晴,2
271,2018-09-29,21,10,晴,3
272,2018-09-30,19,8,晴,4
273,2018-10-01,25,13,晴,3
274,2018-10-02,24,12,晴,2
275,2018-10-03,26,11,晴,2
276,2018-10-04,25,10,晴,2
277,2018-10-05,24,12,多云,2
278,2018-10-06,20,12,晴,4
279,2018-10-07,21,8,晴,2
280,2018-10-08,21,5,多云,2
281,2018-10-09,16,8,晴,4
282,2018-10-10,17,3,晴,2
283,2018-10-11,18,4,晴,2
284,2018-10-12,18,13,阴,2
285,2018-10-13,20,7,晴,1
286,2018-10-14,20,8,霾,1
287,2018-10-15,17,10,多云,2
288,2018-10-16,17,7,晴,2
289,2018-10-17,18,7,晴,1
290,2018-10-18,18,4,阴,1
291,2018-10-19,19,5,晴,1
292,2018-10-20,18,5,晴,1
293,2018-10-21,17,7,晴,1
294,2018-10-22,19,6,晴,2
295,2018-10-23,19,5,晴,2
296,2018-10-24,21,4,多云,1
297,2018-10-25,16,6,晴,2
298,2018-10-26,14,8,晴,4
299,2018-10-27,17,3,晴,3
300,2018-10-28,18,5,晴,3
301,2018-10-29,15,4,晴,3
302,2018-10-30,16,3,晴,2
303,2018-10-31,17,1,晴,1
304,2018-11-01,17,3,晴,1
305,2018-11-02,15,3,晴,1
306,2018-11-03,16,4,多云,2
307,2018-11-04,11,5,多云,2
308,2018-11-05,10,2,晴,1
309,2018-11-06,12,2,晴,2
310,2018-11-07,12,0,多云,1
311,2018-11-08,14,2,晴,1
312,2018-11-09,16,2,晴,3
313,2018-11-10,11,1,阴,1
314,2018-11-11,14,2,晴,1
315,2018-11-12,2,-5,阴,3
316,2018-11-13,13,2,霾,1
317,2018-11-14,13,4,霾,1
318,2018-11-15,10,4,多云,2
319,2018-11-16,17,13,多云,3
320,2018-11-17,15,9,小雨,3
321,2018-11-18,24,18,阴,1
322,2018-11-19,10,-3,晴,1
323,2018-11-20,10,-2,多云,2
324,2018-11-21,15,11,阴,3
325,2018-11-22,8,-3,晴,2
326,2018-11-23,7,-3,晴,2
327,2018-11-24,10,0,霾,2
328,2018-11-25,10,-3,晴,1
329,2018-11-26,23,17,阴,2
330,2018-11-27,9,-2,晴,3
331,2018-11-28,13,1,霾,2
332,2018-11-29,23,17,晴,2
333,2018-11-30,17,8,阴,1
334,2018-12-01,7,-3,阴,1
335,2018-12-02,8,1,阴,1
336,2018-12-03,8,1,多云,3
337,2018-12-04,4,-3,晴,2
338,2018-12-05,25,20,阴,2
339,2018-12-06,-2,-7,晴,3
340,2018-12-07,0,-3,阴,3
341,2018-12-08,-2,-10,晴,3
342,2018-12-09,-1,-10,晴,1
343,2018-12-10,0,-10,多云,1
344,2018-12-11,7,5,阴,2
345,2018-12-12,1,-10,晴,2
346,2018-12-13,3,-8,晴,2
347,2018-12-14,4,-8,晴,1
348,2018-12-15,2,-7,多云,1
349,2018-12-16,7,-6,晴,2
350,2018-12-17,8,-4,晴,2
351,2018-12-18,18,4,晴,1
352,2018-12-19,8,-4,晴,1
353,2018-12-20,6,-5,阴,1
354,2018-12-21,28,21,多云,3
355,2018-12-22,8,-2,多云,2
356,2018-12-23,11,5,多云,3
357,2018-12-24,9,5,阴,1
358,2018-12-25,3,-8,晴,3
359,2018-12-26,-2,-9,多云,2
360,2018-12-27,-6,-11,晴,4
361,2018-12-28,-4,-11,晴,3
362,2018-12-29,-3,-12,晴,2
363,2018-12-30,4,1,阴,3
364,2018-12-31,4,0,多云,2
365,2019-01-01,1,-10,晴,2
366,2019-01-02,1,-11,霾,1
367,2019-01-03,2,-9,阴,1
368,2019-01-04,7,5,小雨,2
369,2019-01-05,0,-8,多云,2
370,2019-01-06,3,-8,晴,1
371,2019-01-07,2,-7,晴,2
372,2019-01-08,1,-7,晴,2
373,2019-01-09,2,-10,晴,1
374,2019-01-10,4,-9,多云,1
375,2019-01-11,5,-7,霾,1
376,2019-01-12,5,-6,霾,1
377,2019-01-13,6,-5,霾,2
378,2019-01-14,6,-7,晴,2
379,2019-01-15,-2,-8,晴,3
380,2019-01-16,2,-10,晴,1
381,2019-01-17,5,-8,阴,2
382,2019-01-18,6,-9,多云,1
383,2019-01-19,4,-5,晴,2
384,2019-01-20,5,-5,晴,3
385,2019-01-21,9,-6,晴,2
386,2019-01-22,10,-4,晴,2
387,2019-01-23,10,-3,晴,2
388,2019-01-24,5,-4,多云,2
389,2019-01-25,5,-4,晴,2
390,2019-01-26,5,-6,多云,2
391,2019-01-27,7,-5,晴,2
392,2019-01-28,6,-4,晴,2
393,2019-01-29,7,-4,多云,1
394,2019-01-30,3,-4,多云,3
395,2019-01-31,1,-7,晴,2
396,2019-02-01,6,-8,晴,1
397,2019-02-02,3,-5,霾,1
398,2019-02-03,7,-3,晴,3
399,2019-02-04,4,-7,晴,2
400,2019-02-05,5,-6,多云,2
401,2019-02-06,2,-7,多云,2
402,2019-02-07,-3,-7,多云,3
403,2019-02-08,-1,-7,晴,2
404,2019-02-09,0,-7,多云,2
405,2019-02-10,-1,-8,多云,2
406,2019-02-11,3,-8,多云,2
407,2019-02-12,-3,-6,多云,2
408,2019-02-13,0,-6,阴,2
409,2019-02-14,-2,-6,多云,2
410,2019-02-15,1,-6,晴,3
411,2019-02-16,2,-7,晴,3
412,2019-02-17,5,0,阴,2
413,2019-02-18,3,-3,阴,1
414,2019-02-19,6,-3,晴,1
415,2019-02-20,7,-3,霾,2
416,2019-02-21,10,-4,霾,1
417,2019-02-22,10,-3,多云,1
418,2019-02-23,12,-2,霾,1
419,2019-02-24,12,-1,阴,2
420,2019-02-25,10,-3,多云,2
421,2019-02-26,9,2,多云,2
422,2019-02-27,23,18,多云,3
423,2019-02-28,13,-2,霾,1
424,2019-03-01,14,-1,霾,1
425,2019-03-02,14,1,阴,2
426,2019-03-03,13,2,晴,2
427,2019-03-04,15,2,霾,1
428,2019-03-05,17,3,晴,3
429,2019-03-06,11,4,晴,3
430,2019-03-07,13,-2,晴,2
431,2019-03-08,14,-1,多云,2
432,2019-03-09,12,3,多云,1
433,2019-03-10,13,2,多云,2
434,2019-03-11,16,2,晴,3
435,2019-03-12,12,1,晴,3
436,2019-03-13,16,1,晴,2
437,2019-03-14,16,2,晴,3
438,2019-03-15,14,4,晴,3
439,2019-03-16,19,2,晴,2
440,2019-03-17,20,2,多云,2
441,2019-03-18,21,5,晴,1
442,2019-03-19,25,5,多云,2
443,2019-03-20,20,9,多云,2
444,2019-03-21,13,5,晴,3
445,2019-03-22,15,0,晴,3
446,2019-03-23,12,3,晴,3
447,2019-03-24,19,2,晴,3
448,2019-03-25,22,5,晴,2
449,2019-03-26,19,5,晴,2
450,2019-03-27,21,4,多云,2
451,2019-03-28,11,4,晴,2
452,2019-03-29,12,-3,多云,3
453,2019-03-30,12,4,晴,4
454,2019-03-31,16,0,多云,2
455,2019-04-01,16,2,多云,2
456,2019-04-02,19,4,晴,2
457,2019-04-03,21,3,晴,2
458,2019-04-04,28,9,晴,3
459,2019-04-05,21,9,多云,3
460,2019-04-06,19,8,晴,2
461,2019-04-07,19,6,多云,2
462,2019-04-08,17,6,阴,2
463,2019-04-09,10,5,多云,2
464,2019-04-10,18,3,多云,2
465,2019-04-11,19,8,晴,2
466,2019-04-12,22,6,晴,3
467,2019-04-13,23,9,晴,2
468,2019-04-14,23,7,晴,3
469,2019-04-15,26,8,多云,2
470,2019-04-16,26,12,晴,2
471,2019-04-17,28,14,晴,3
472,2019-04-18,23,13,多云,3
473,2019-04-19,20,10,阴转雨,2
474,2019-04-20,15,10,阴,2
475,2019-04-21,22,8,晴,2
476,2019-04-22,26,8,晴转多云,2
477,2019-04-23,27,14,晴转多云,2
478,2019-04-24,19,5,大雨转雨,3
479,2019-04-25,18,10,小雨到大雨转雨,2
480,2019-04-26,20,8,多云,2
481,2019-04-27,16,8,多云,3
482,2019-04-28,18,5,多云,2
483,2019-04-29,31,22,阴转多云,2
484,2019-04-30,23,10,多云,1
485,2019-05-01,28,12,晴,2
486,2019-05-02,29,12,晴,2
487,2019-05-03,20,8,多云,2
488,2019-05-04,28,16,晴转多云,2
489,2019-05-05,23,16,晴,4
490,2019-05-06,25,10,晴,2
491,2019-05-07,28,10,多云,2
492,2019-05-08,25,14,晴转多云,2
493,2019-05-09,30,14,晴转多云,2
494,2019-05-10,30,14,晴转多云,2
495,2019-05-11,29,14,晴转多云,2
496,2019-05-12,29,9,小雨转雨,3
497,2019-05-13,26,9,晴,3
498,2019-05-14,29,12,多云,2
499,2019-05-15,28,16,晴,2
500,2019-05-16,32,16,晴,2
501,2019-05-17,31,19,阴转雨,2
502,2019-05-18,28,19,晴转雨,2
503,2019-05-19,26,15,晴,4
504,2019-05-20,26,12,晴,4
505,2019-05-21,32,13,晴,2
506,2019-05-22,35,14,晴,2
507,2019-05-23,37,17,多云,2
508,2019-05-24,33,21,多云,3
509,2019-05-25,34,21,阴转雨,2
510,2019-05-26,23,12,阴转雨,2
511,2019-05-27,29,17,晴转多云,3
512,2019-05-28,32,15,晴,2
513,2019-05-29,32,16,多云,2
514,2019-05-30,30,22,晴,3
515,2019-05-31,30,16,阴,3
516,2019-06-01,28,19,多云转雨,2
517,2019-06-02,29,18,小雨转多云,2
518,2019-06-03,33,20,晴转多云,2
519,2019-06-04,26,19,阴转雨,2
520,2019-06-05,31,19,小雨转雨,2
521,2019-06-06,25,19,晴转多云,2
522,2019-06-07,31,17,阴,2
523,2019-06-08,33,20,多云转晴,2
524,2019-06-09,30,21,晴,3
525,2019-06-10,32,17,晴,2
526,2019-06-11,31,18,晴转多云,2
527,2019-06-12,30,20,阴,2
528,2019-06-13,28,23,晴转雨,2
529,2019-06-14,33,19,晴转多云,2
530,2019-06-15,31,20,阴转多云,2
531,2019-06-16,23,19,晴转多云,2
532,2019-06-17,28,17,多云,2
533,2019-06-18,32,20,阴转雨,2
534,2019-06-19,30,22,阴,2
535,2019-06-20,34,22,晴转多云,2
536,2019-06-21,30,24,多云,3
537,2019-06-22,34,20,晴转多云,2
538,2019-06-23,35,22,多云,2
539,2019-06-24,36,23,多云转晴,2
540,2019-06-25,35,23,晴转多云,3
541,2019-06-26,34,25,多云转阴,2
542,2019-06-27,32,23,多云,2
543,2019-06-28,30,24,晴,2
544,2019-06-29,34,22,晴,3
545,2019-06-30,32,23,晴,3
546,2019-07-01,34,21,多云,2
547,2019-07-02,33,22,晴,2
548,2019-07-03,35,22,晴,2
549,2019-07-04,37,24,多云,2
550,2019-07-05,29,20,多云转雨,3
551,2019-07-06,27,19,小雨到中雨,3
552,2019-07-07,28,21,多云,3
553,2019-07-08,30,21,阴,2
554,2019-07-09,28,22,多云转雨,2
555,2019-07-10,21,17,多云转雨,2
556,2019-07-11,29,20,晴转多云,2
557,2019-07-12,32,22,晴,2
558,2019-07-13,33,21,大雨转雨,2
559,2019-07-14,31,24,晴,2
560,2019-07-15,35,23,多云转阴,2
561,2019-07-16,31,24,小雨转雨,2
562,2019-07-17,27,23,小雨转雨,2
563,2019-07-18,31,24,多云,2
564,2019-07-19,29,26,多云,3
565,2019-07-20,30,24,晴,2
566,2019-07-21,36,24,多云转阴,2
567,2019-07-22,35,24,小雨到大雨,2
568,2019-07-23,35,26,晴,2
569,2019-07-24,36,26,阴,2
570,2019-07-25,36,25,多云转晴,3
571,2019-07-26,36,27,晴,2
572,2019-07-27,36,26,多云转晴,3
573,2019-07-28,33,26,小雨到中雨,2
574,2019-07-29,28,24,多云,2
575,2019-07-30,34,22,晴转雨,2
576,2019-07-31,35,25,多云转晴,2
577,2019-08-01,31,25,多云转雨,2
578,2019-08-02,30,25,多云,2
579,2019-08-03,30,24,多云,2
580,2019-08-04,28,24,阴转雨,2
581,2019-08-05,28,24,多云,2
582,2019-08-06,30,24,多云转雨,2
583,2019-08-07,29,24,多云转晴,2
584,2019-08-08,32,24,阴,2
585,2019-08-09,31,24,小雨到暴雨,2
586,2019-08-10,28,24,多云转雨,2
587,2019-08-11,26,21,风转雨,5
588,2019-08-12,30,23,多云转雨,3
589,2019-08-13,28,23,多云转晴,3
590,2019-08-14,31,22,晴,2
591,2019-08-15,32,23,多云转雨,2
592,2019-08-16,31,23,晴,3
593,2019-08-17,29,16,多云,1
594,2019-08-18,32,20,晴转多云,2
595,2019-08-19,31,21,阴,2
596,2019-08-20,27,21,多云,3
597,2019-08-21,30,19,晴转多云,3
598,2019-08-22,32,19,晴转多云,2
599,2019-08-23,30,20,阴,2
600,2019-08-24,30,19,晴,2
601,2019-08-25,30,18,多云转晴,3
602,2019-08-26,27,20,多云,2
603,2019-08-27,33,19,晴,2
604,2019-08-28,31,20,多云转晴,3
605,2019-08-29,29,20,晴,3
606,2019-08-30,30,19,晴,2
607,2019-08-31,31,17,晴,2
608,2019-09-01,32,19,晴,2
609,2019-09-02,33,19,晴,2
610,2019-09-03,32,19,晴,2
611,2019-09-04,31,20,多云,2
612,2019-09-05,32,19,晴,2
613,2019-09-06,32,20,晴,2
614,2019-09-07,33,21,晴转多云,2
615,2019-09-08,34,21,多云,2
616,2019-09-09,31,20,大雨到暴雨,2
617,2019-09-10,24,20,阴,2
618,2019-09-11,25,18,多云,2
619,2019-09-12,26,18,小雨转雨,2
620,2019-09-13,27,18,多云,2
621,2019-09-14,29,17,多云,2
622,2019-09-15,28,17,晴,2
623,2019-09-16,27,17,多云,2
624,2019-09-17,28,16,晴,2
625,2019-09-18,25,15,多云,2
626,2019-09-19,25,17,多云转晴,2
627,2019-09-20,27,16,晴转多云,1
628,2019-09-21,27,16,晴,2
629,2019-09-22,27,16,晴,1
630,2019-09-23,29,17,晴,2
631,2019-09-24,30,18,晴,2
632,2019-09-25,29,15,晴,2
633,2019-09-26,29,15,晴,2
634,2019-09-27,27,15,晴,2
635,2019-09-28,29,16,晴,2
636,2019-09-29,28,17,晴,2
637,2019-09-30,29,19,晴,2
638,2019-10-01,29,19,晴,2
639,2019-10-02,28,18,晴,2
640,2019-10-03,31,17,晴转多云,2
641,2019-10-04,15,12,晴转多云,2
642,2019-10-05,18,9,阴,2
643,2019-10-06,19,9,晴转多云,2
644,2019-10-07,24,10,晴,2
645,2019-10-08,20,11,晴转多云,3
646,2019-10-09,21,9,阴,2
647,2019-10-10,20,12,阴,2
648,2019-10-11,18,12,多云,2
649,2019-10-12,18,13,阴,2
650,2019-10-13,13,6,晴,2
651,2019-10-14,15,6,晴转多云,2
652,2019-10-15,17,3,多云转阴,1
653,2019-10-16,15,6,阴,2
654,2019-10-17,13,9,阴转多云,1
655,2019-10-18,17,6,晴,1
656,2019-10-19,18,8,霾转晴,2
657,2019-10-20,22,11,晴,3
658,2019-10-21,20,8,晴转多云,2
659,2019-10-22,19,6,阴转多云,1
660,2019-10-23,20,8,晴转多云,1
661,2019-10-24,16,9,晴,3
662,2019-10-25,13,4,晴转多云,3
663,2019-10-26,16,1,晴,2
664,2019-10-27,17,4,晴,2
665,2019-10-28,15,4,晴,4
666,2019-10-29,15,4,晴,1
667,2019-10-30,20,4,晴,2
668,2019-10-31,22,8,晴,2
669,2019-11-01,17,7,阴,2
670,2019-11-02,13,9,多云转阴,2
671,2019-11-03,13,8,晴,2
672,2019-11-04,15,5,晴,1
673,2019-11-05,17,7,阴,2
674,2019-11-06,15,6,晴,1
675,2019-11-07,12,6,晴,2
676,2019-11-08,16,1,晴,1
677,2019-11-09,13,4,中雨转雨,1
678,2019-11-10,16,8,晴,4
679,2019-11-11,16,7,晴转多云,2
680,2019-11-12,17,5,多云,2
681,2019-11-13,8,0,晴,4
682,2019-11-14,8,-3,晴转多云,2
683,2019-11-15,8,0,阴,2
684,2019-11-16,8,2,多云转阴,2
685,2019-11-17,10,0,晴,3
686,2019-11-18,3,-3,晴,4
687,2019-11-19,5,-3,晴转多云,2
688,2019-11-20,7,-3,晴转多云,1
689,2019-11-21,6,-2,晴,1
690,2019-11-22,9,-1,霾转多云,1
691,2019-11-23,12,2,多云,2
692,2019-11-24,6,0,晴,4
693,2019-11-25,2,-4,晴转多云,2
694,2019-11-26,4,-4,晴转多云,1
695,2019-11-27,3,-2,晴,2
696,2019-11-28,2,-6,多云转晴,1
697,2019-11-29,1,-5,雪,2
698,2019-11-30,4,-3,阴,2
699,2019-12-01,3,-4,晴,3
700,2019-12-02,3,-4,晴,3
701,2019-12-03,6,-3,晴,2
702,2019-12-04,8,-2,晴,2
703,2019-12-05,1,-4,晴,2
704,2019-12-06,3,-6,晴,1
705,2019-12-07,4,-4,多云,1
706,2019-12-08,1,-6,霾转晴,1
707,2019-12-09,2,-6,霾,1
708,2019-12-10,8,-4,晴,3
709,2019-12-11,21,9,晴,2
710,2019-12-12,5,-6,晴,1
711,2019-12-13,10,-6,晴,2
712,2019-12-14,5,-4,晴,1
713,2019-12-15,3,-4,阴转雪,1
714,2019-12-16,5,-2,晴转多云,1
715,2019-12-17,4,-2,晴,3
716,2019-12-18,2,-7,晴,2
717,2019-12-19,2,-5,晴,3
718,2019-12-20,2,-8,晴,1
719,2019-12-21,2,-6,阴转多云,1
720,2019-12-22,5,-6,晴转多云,2
721,2019-12-23,2,-5,阴,2
722,2019-12-24,1,-3,多云,2
723,2019-12-25,5,-6,阴,2
724,2019-12-26,4,-6,晴,2
725,2019-12-27,4,-7,晴,1
726,2019-12-28,4,-6,多云转晴,2
727,2019-12-29,6,-7,晴转多云,3
728,2019-12-30,24,20,多云,3
729,2019-12-31,-3,-12,晴,2
730,2020-01-01,1,-10,晴转多云,1
731,2020-01-02,3,-9,多云,1
732,2020-01-03,6,-8,晴,1
733,2020-01-04,8,-5,晴转多云,2
734,2020-01-05,3,-5,雪,1
735,2020-01-06,3,-2,阴,1
736,2020-01-07,2,-2,晴转多云,3
737,2020-01-08,5,-5,晴,2
738,2020-01-09,5,-6,晴转多云,1
739,2020-01-10,6,-6,晴,2
740,2020-01-11,1,-5,雪转阴,2
